Sheet,Location,Area/Category,Product Type,Product/Colour,Size,Finish,Thickness,A Faces,B Faces,Extra A,Extra B,Total,Product No,Description,Pre-Cut,Notes
Product Panels,Hall,Fixtures,Sintered Slab,Lithoform Veincut Coast,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0554-1*,160 x 320 cm / 63 x 126 in Lithoform Veincut Coast Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Lithoform Crosscut Coas,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0545-1*,160 x 320 cm / 63 x 126 in Lithoform Crosscut Coast Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,French Vanilla,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0530-0,160 x 320 cm / 63 x 126 in French Vanilla Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,sample eksik ( satin)
Product Panels,Hall,Fixtures,Sintered Slab,Arabescato Corchia Block 59,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0036-0*,160 x 320 cm / 63 x 126 in Arabescato Corchia Block 59 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Forge Eleganza,162 x 322 cm,Polished,12 mm,1,0,0,0,1,8000-0108-1,162 x 322 cm / 64 x 127 in Forge Eleganza Block 20 Bookmatch Cut Polished Colorsync Sintered Slab 12 mm / 0.47 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Calacatta Oro Block 12,162 x 322 cm,Polished,12 mm,1,0,0,0,1,8000-0084-2*,162 x 322 cm / 64 x 127 in Calacatta Oro Block 12 Bookmatch Cut Polished Colorsync Sintered Slab 12 mm / 0.47 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Oro Noir Block 25 Bookmatch,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0272-0,160 x 320 cm / 63 x 126 in Oro Noir Block 25 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Macchia Vecchia Block 42,160 x 320 cm,Honed,6 mm,2,0,0,0,2,8000-0254-0,160 x 320 cm / 63 x 126 in Macchia Vecchia Block 42 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Calacatta Borghini Block 48,162 x 322 cm,Honed,12 mm,1,0,0,0,1,8000-0434-2*,162 x 322 cm / 64 x 127 in Calacatta Borghini Block 48 Bookmatch Cut Honed Colorsync Sintered Slab 12 mm / 0.47 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Taj Mahal Block 36,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0411-0,160 x 320 cm / 63 x 126 in Taj Mahal Block 36 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Marina White Block 46,160 x 320 cm,Honed,6 mm,1,0,0,0,1,8000-0258-0,160 x 320 cm / 63 x 126 in Marina White Block 46 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Calacatta Picasso Block 32,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0224-1*,160 x 320 cm / 63 x 126 in Calacatta Picasso Block 32 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Product Panels,Hall,Fixtures,Sintered Slab,Gemma Bronze Block 45,160 x 320 cm,Polished,6 mm,1,0,0,0,1,8000-0208-0,160 x 320 cm / 63 x 126 in Gemma Bronze Block 45 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,,
Floor & Walls,F04+F05+F06+F08,Main Floors,Porcelain Tile,Serena Crater,119.8 x 119.8 cm,Honed,9 mm,75,0,25,0,100,8500-0160-0,120 x 120 cm / 48 x 48 in Serena Crater Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,F01,Floor,Porcelain Tile,Arabescato Corchia,119.8 x 119.8 cm,Honed,9 mm,20,0,4,0,24,8500-0119-0,120 x 120 cm / 48 x 48 in Majesto Arabescato Corchia Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,F02,Floor,Porcelain Tile,Calacatta Noir,119.8 x 119.8 cm,Honed,9 mm,27,0,5,0,32,8500-0145-0,120 x 120 cm / 48 x 48 in Majesto Calacatta Noir Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,F03,Floor,Porcelain Tile,Ceppo di Gre,119.8 x 119.8 cm,Honed,9 mm,27,0,5,0,32,8500-0148-0,120 x 120 cm / 48 x 48 in Majesto Ceppo di Gre Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,F07,Floor,Porcelain Tile,Lithoform Crosscut Dunes,119.8 x 119.8 cm,Honed,9 mm,27,0,5,0,32,8500-0170-0,120 x 120 cm / 48 x 48 in Lithoform Crosscut Dunes Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W1A+W1C,Bathroom Walls,Sintered Slab,Pietra Imperiale,160 x 320 cm,Honed,6 mm,2,2,0,0,4,8000-0282-0,160 x 320 cm / 63 x 126 in Pietra Imperiale Block 30 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,No,
Floor & Walls,W1B+W1D,Bathroom side Walls,Sintered Slab,Arabescato Corchia,160 x 320 cm,Polished,6 mm,3,3,0,0,6,8000-0036-0,160 x 320 cm / 63 x 126 in Arabescato Corchia Block 59 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,Yes,
Floor & Walls,W1A,Bathroom Vanity,Sintered Slab,Pietra Imperiale,162 x 322 cm,Satin,12 mm,1,0,0,0,1,8000-0493-1,162 x 322 cm / 64 x 127 in Pietra Imperiale Block 30 Bookmatch Cut Satin Colorsync Sintered Slab 12 mm / 0.47 in,N/A,Kesim icin Slab mobilya ureticisi bir firmaya iletilmeli
Floor & Walls,W2A+W2B+W2D,Living Space Walls,Sintered Slab,Lithoform Veincut Vista,160 x 320 cm,Honed,6 mm,6,0,0,0,6,8000-0558-0,160 x 320 cm / 63 x 126 in Lithoform Veincut Vista Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,Yes,
Floor & Walls,W2C,Waterfall Wall,Sintered Slab,Calacatta Noir,120 x 280 cm,Polished,6 mm,8,0,0,0,8,8500-0050-1,120 x 280 cm / 48 x 110 in Majesto Calacatta Noir Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,Yes,
Floor & Walls,W2D,Fireplace Top,Sintered Slab,Travertino Titanium,160 x 320 cm,Honed,6 mm,2,2,0,0,4,8000-0574-0,160 x 320 cm / 63 x 126 in Travertino Titanium Block 39 Bookmatch Cut Honed Rectified Colorsync Colorsync Sintered Slab 6 mm / 0.24,Yes,
Floor & Walls,W2D,Fireplace Bottom,Sintered Slab,Travertino Titanium,162 x 322 cm,Grained,12 mm,1,1,0,0,2,8000-0500-1,162 x 322 cm / 64 x 127 in Travertino Titanium Block 39 Bookmatch Cut Grained Colorsync Sintered Slab 12 mm / 0.47 in,Yes,
Floor & Walls,W3A+W3B+W3C,Meeting room Walls,Sintered Slab,Lithoform Crosscut Vista,160 x 320 cm,Honed,6 mm,7,0,0,0,7,8000-0551-0,160 x 320 cm / 63 x 126 in Lithoform Crosscut Vista Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,Yes,
Floor & Walls,W3D,Wall,Sintered Slab,Statuario Block 16,160 x 320 cm,Honed,6 mm,1,1,0,0,2,8000-0290-0,160 x 320 cm / 63 x 126 in Statuario Block 16 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,No,
Floor & Walls,W3D,Wall,Sintered Slab,Statuario Block 17,160 x 320 cm,Honed,6 mm,1,1,0,0,2,8000-0306-9,160 x 320 cm / 63 x 126 in Statuario Block 17 Bookmatch Cut Honed Rectified Colorsync Sintered Slab B Grade 6 mm / 0.24 in,Yes,B Grade urun icinden 1 adet A ve 1 adet B face cikartabilir miyiz bakalim lutfen.
Floor & Walls,Room 3,Middle Meeting Table Top,Sintered Slab,Oro Noir,125 x 280 cm,Polished,12 mm,1,0,0,0,1,8000-0140-1,162 x 322 cm / 64 x 127 in Oro Noir Block 25 Bookmatch Cut Polished Colorsync Sintered Slab 12 mm / 0.47 in,N/A,Kesim icin Slab mobilya ureticisi bir firmaya iletilmeli veya kendimiz keselim
Floor & Walls,W4C,Wall,Sintered Slab,Foresta,160 x 320 cm,Polished,6 mm,1,1,0,0,2,8000-0236-0,160 x 320 cm / 63 x 126 in Foresta Block 56 Bookmatch Cut Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,No,
Floor & Walls,W5C,Subsize Tiles,Sintered Slab,Majesto Taj Mahal,120 x 280 cm,Polished,6 mm,1,0,0,0,1,8500-0034-1,120 x 280 cm / 48 x 110 in Majesto Taj Mahal Polished Rectified Colorsync Sintered Slab 6 mm / 0.24 in,No,
Floor & Walls,W5C,Subsize Tiles,Porcelain Tile,Majesto Taj Mahal,60 x 120 cm,Polished,9 mm,1,0,0,0,1,8500-0530-0,60 x 120 cm / 24 x 48 in Majesto Taj Mahal Polished Rectified Colorsync Porcelain Tile,No,
Floor & Walls,W5C,Subsize Tiles,Porcelain Tile,Majesto Taj Mahal,120 x 120 cm,Honed,9 mm,1,0,0,0,1,8500-0135-0,120 x 120 cm / 48 x 48 in Majesto Taj Mahal Honed Rectified Colorsync Porcelain Tile,No,
Floor & Walls,W5C,Subsize Tiles,Mosaic,Majesto Taj Mahal,"2"" Hex Mosaic",Honed,9 mm,1,0,0,0,1,8510-0009-0,5 cm / 2 in Majesto Taj Mahal Hexagon Honed Colorsync Porcelain Mosaic,No,Mosaic ureticisinden talep edilmeli.
Floor & Walls,W5C,Subsize Tiles,Porcelain Tile,Majesto Taj Mahal,60 x 60 cm,Honed,9 mm,1,0,0,0,1,8500-0295-0,60 x 60 cm / 24 x 24 in Majesto Taj Mahal Honed Rectified Colorsync Porcelain Tile,No,
Floor & Walls,W5C,Subsize Tiles,Porcelain Tile,Majesto Taj Mahal,30 x 60 cm,Polished,9 mm,1,0,0,0,1,8500-0405-0,30 x 60 cm / 12 x 24 in Majesto Taj Mahal Polished Rectified Colorsync Porcelain Tile,No,
Floor & Walls,W5C,Subsize Tiles,Porcelain Tile,Majesto Taj Mahal,90 x 90 cm,Honed,9 mm,1,0,0,0,1,8500-0602-0,90 x 90 cm / 36 x 36 in Majesto Taj Mahal Honed Rectified Colorsync Porcelain Tile,No,120 x 120'den kesilebilir.
Floor & Walls,W6A,Wall,Sintered Slab,Calacatta Corchia,120 x 280 cm,Honed,6 mm,6,0,0,0,6,8500-0019-1,120 x 280 cm / 48 x 110 in Majesto Calacatta Corchia Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,Yes,
Floor & Walls,W7C,Wall,Sintered Slab,Travertino Classico,120 x 280 cm,Honed,6 mm,6,0,0,0,6,8500-0052-0,120 x 280 cm / 48 x 110 in Majesto Travertino Classico Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,Yes,
Floor & Walls,W8A,Wall,Sintered Slab,Gemma Bronze,160 x 320 cm,Honed,6 mm,1,1,0,0,2,8000-0210-0,160 x 320 cm / 63 x 126 in Gemma Bronze Block 45 Bookmatch Cut Honed Rectified Colorsync Sintered Slab 6 mm / 0.24 in,No,
Floor & Walls,W8B,Subsize Tiles,Porcelain Tile,Lithoform Crosscut Vista,120 x 120 cm,Honed,9 mm,1,0,0,0,1,8500-0176-0,120 x 120 cm / 48 x 48 in Lithoform Crosscut Vista Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8B,Subsize Tiles,Porcelain Tile,Lithoform Crosscut Twilight,120 x 120 cm,Honed,9 mm,1,0,0,0,1,8500-0179-0,120 x 120 cm / 48 x 48 in Lithoform Crosscut Twilight Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Lithoform Crosscut Coast,120 x 120 cm,Honed,9 mm,1,0,0,0,1,8500-0173-0,120 x 120 cm / 48 x 48 in Lithoform Crosscut Coast Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Lithoform Crosscut Dunes,120 x 120 cm,Honed,9 mm,1,0,0,0,1,8500-0170-0,120 x 120 cm / 48 x 48 in Lithoform Crosscut Dunes Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Lithoform Veincut Coast,60 x 120 cm,Honed,9 mm,2,0,0,0,2,8500-0462-0,60 x 120 cm / 24 x 48 in Lithoform Veincut Coast Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Lithoform Veincut Dunes,60 x 120 cm,Honed,9 mm,2,0,0,0,2,8500-0468-0,60 x 120 cm / 24 x 48 in Lithoform Veincut Dunes Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Lithoform Veincut Vista,60 x 120 cm,Honed,9 mm,2,0,0,0,2,8500-0480-0,60 x 120 cm / 24 x 48 in Lithoform Veincut Vista Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Lithoform Veincut Twilight,60 x 120 cm,Honed,9 mm,2,0,0,0,2,8500-0474-0,60 x 120 cm / 24 x 48 in Lithoform Veincut Twilight Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Serena Shale,120 x 120 cm,Honed,9 mm,1,0,1,0,2,8500-0162-0,120 x 120 cm / 48 x 48 in Serena Shale Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Serena Valley,120 x 120 cm,Honed,9 mm,1,0,1,0,2,8500-0168-0,120 x 120 cm / 48 x 48 in Serena Valley Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Serena Crater,120 x 120 cm,Honed,9 mm,1,0,1,0,2,8500-0160-0,120 x 120 cm / 48 x 48 in Serena Crater Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8C,Subsize Tiles,Porcelain Tile,Serena Dusk,120 x 120 cm,Honed,9 mm,1,0,1,0,2,8500-0166-0,120 x 120 cm / 48 x 48 in Serena Dusk Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8D,Subsize Tiles,Porcelain Tile,Serena Pewter,120 x 120 cm,Honed,9 mm,1,0,1,0,2,8500-0164-0,120 x 120 cm / 48 x 48 in Serena Pewter Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W8D,Subsize Tiles,Porcelain Tile,Serena Flint,120 x 120 cm,Honed,9 mm,1,0,1,0,2,8500-0158-0,120 x 120 cm / 48 x 48 in Serena Flint Honed Rectified Colorsync Porcelain Tile,N/A,
Floor & Walls,W9F,Subsize Tiles,,Lustra Onyx Sage (Olive),60 x 120 cm,,9 mm,1,0,1,0,2,,60 x 120 cm Lustra Onyx Sage (Olive),N/A,Cengiz bey onayi bekleniyor. Uretilecek.
Floor & Walls,W9F,Subsize Tiles,,Lustra Onyx Hazel (Taupe),60 x 120 cm,,9 mm,1,0,1,0,2,,60 x 120 cm Lustra Onyx Hazel (Taupe),N/A,Cengiz bey onayi bekleniyor. Uretilecek.
Floor & Walls,W9F,Subsize Tiles,,Lustra Onyx Crema (Ivory),120 x 120 cm,,9 mm,1,0,1,0,2,,120 x 120 cm Lustra Onyx Crema (Ivory),N/A,Cengiz bey onayi bekleniyor. Uretilecek.
Floor & Walls,Board,Finishes sample board,Sample Chip,Taj Mahal,9.5 x 13.4 cm,Polished,6 mm,2,0,0,0,2,9902-2325-0,"Aeterna 9.5 x 13.4 cm Taj Mahal Polished Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Taj Mahal,9.5 x 13.4 cm,Honed,6 mm,2,0,0,0,2,9902-2326-0,"Aeterna 9.5 x 13.4 cm Taj Mahal Honed Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Taj Mahal,9.5 x 13.4 cm,Satin,6 mm,2,0,0,0,2,9902-2327-0,"Aeterna 9.5 x 13.4 cm Taj Mahal Satin Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Lithoform Crosscut Coast,9.5 x 13.4 cm,St Honed,6 mm,2,0,0,0,2,9902-2383-0,"Aeterna 9.5 x 13.4 cm Lithoform Crosscut Coast Honed Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Lithoform Crosscut Coast,9.5 x 13.4 cm,Organic Matte,6 mm,2,0,0,0,2,9902-2415-0,"Aeterna 9.5 x 13.4 cm Lithoform Crosscut Coast Organic Matte Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Lithoform Crosscut Coast,9.5 x 13.4 cm,Vintage,6 mm,2,0,0,0,2,9902-2384-0,"Aeterna 9.5 x 13.4 cm Lithoform Crosscut Coast Vintage Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Travertino Classico,9.5 x 13.4 cm,Grained,6 mm,2,0,0,0,2,9902-2372-0,"Aeterna 9.5 x 13.4 cm Travertino Classico Grained Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Publica Terrain,9.5 x 13.4 cm,Patinated,6 mm,2,0,0,0,2,9902-2402-0,"Aeterna 9.5 x 13.4 cm Publica Terrain Organic Patinated Sample Chip, 6 mm",N/A,
Floor & Walls,Board,Finishes sample board,Sample Chip,Monoforma Moonlight,9.5 x 13.4 cm,Silk,6 mm,2,0,0,0,2,9902-2404-0,"Aeterna 9.5 x 13.4 cm Monoforma Moonlight Silk Sample Chip, 6 mm",N/A,
Floor & Walls,,,,,,,,,,,,7,9901-0085-0,"Waterfall Slab Display Kit, 3 Panels",,
Floor & Walls,,,,,,,,,,,,2,9902-2069-0,Waterfall Slab Display Connecter - 6 Panels,,
Floor & Walls,,,,,,,,,,,,1,9902-3098-0,Right Angle Sliding 120 x 280 cm Slab Display - 12 Slab Capacity,,-
Floor & Walls,,,,,,,,,,,,1,9902-3099-0,Left Angle Sliding 120 x 280 cm Slab Display - 12 Slab Capacity,,
Floor & Walls,,,,,,,,,,,,1,9902-3102-0,Right Angle Sliding 160 x 320 cm Slab Display - 12 Slab Capacity,,-
Floor & Walls,,,,,,,,,,,,1,9902-3103-0,Left Angle Sliding 160 x 320 cm Slab Display - 12 Slab Capacity,,
Floor & Walls,,,,,,,,,,,,1,9902-2066-0,Aeterna Sample Tower Display Base 75 Chips,,
Floor & Walls,,,,,,,,,,,,1,9902-2067-0,Aeterna Sintered Stone Sample Table Top Display,,
Floor & Walls,,,,,,,,,,,,2,9902-3105-0,Anatolia 120 x 120 cm Rotating Tile Display - 10 Tile Capacity,,
