Color numbers per series,Series,Surface,,,,,,,,,,,TOTAL SKU
,,Polished,Unglazed Polished,Honed,Structured Honed,Satin,Unglazed Satin,Soft Antslip Matt,Structured matt,Structured matt,Structured matt,Structured Brushed,
24,Natural Stone,94,,108,,,,44,7,,14,,267
4,Onyx,24,,24,,,,12,,,,,60
6,Serena (Pietra Serena),,,36,,,,,36,18,,,90
8,Lithoform (Halila),,,36,,,,,36,36,,,108
6,Publica (Argilla),,,,,,,,30,,,36,66
4,Monoforma (Uni color),20,,,,,,20,,,,,40
52,TOTAL,138,,204,,0,,76,109,54,14,36,631
